AF3_THETA,AF3_ALPHA,AF3_LOW_BETA,AF3_HIGH_BETA,AF3_GAMMA,T7_THETA,T7_ALPHA,T7_LOW_BETA,T7_HIGH_BETA,T7_GAMMA,Pz_THETA,Pz_ALPHA,Pz_LOW_BETA,Pz_HIGH_BETA,Pz_GAMMA,T8_THETA,T8_ALPHA,T8_LOW_BETA,T8_HIGH_BETA,T8_GAMMA,AF4_THETA,AF4_ALPHA,AF4_LOW_BETA,AF4_HIGH_BETA,AF4_GAMMA,Label
36.521195,5.690963,4.368378,3.681024,2.044684,5.149497,2.841866,2.986913,4.868911,5.667569,1179.568149,75.643607,16.813123,3.307449,2.286532,9.065174,4.857784,3.237315,10.836014,11.852196,25.137622,4.174243,3.426179,3.977503,1.916979,happy
5.184947,2.76944,0.80599,0.331084,0.647682,3.322449,1.28527,0.963195,0.420482,0.470029,8.311098,3.24604,3.723478,1.067025,0.568436,0.328749,0.381547,0.323813,0.411048,0.26718,5.21362,1.650218,1.064583,0.628653,0.8307,sad
7.235138,6.758494,1.267795,0.782273,0.728061,2.248834,1.647369,0.710728,1.499154,0.642661,0.400729,0.432122,0.271754,0.546422,0.33459,1.558006,1.815827,0.819506,0.642929,0.352655,5.003228,5.952719,1.538897,1.937112,1.181062,sad
17.634965,1.957573,3.399367,1.444648,0.974306,4.311849,4.333873,2.054712,1.027235,0.572482,1.368581,0.766498,0.672847,0.650223,0.387086,1.377985,1.427636,0.341903,0.953349,0.412116,7.12631,2.762277,2.947388,2.100377,0.870085,sad
5.053405,1.193523,2.196919,1.003521,0.709611,23.622653,4.05182,4.023945,2.157645,1.233966,4.926573,7.334552,2.600724,1.596138,0.697779,1.081937,1.083719,0.803877,0.638646,0.364813,6.140437,3.437813,1.818706,1.597741,0.749355,happy
2.627719,2.785587,3.374968,1.01723,0.871941,1.973994,0.878509,0.693258,0.641965,0.783019,0.820514,1.065948,0.573848,0.288135,0.385723,2.466434,1.942615,1.049998,0.600296,0.464574,6.840166,6.706956,2.675016,1.074748,0.621875,sad
1.316547,1.083149,1.627573,1.115525,0.704488,2.64721,1.367374,0.651981,0.850407,0.704439,0.708667,0.575297,0.917452,0.333663,0.375843,2.142966,1.242819,1.131874,1.523176,1.024601,2.071026,1.734249,1.200361,0.579824,0.745744,happy
8.842293,6.733493,6.291779,1.654379,0.709173,3.293042,2.392195,3.499547,1.759932,0.74673,0.598753,1.380738,1.961575,0.863184,0.516475,3.795289,6.099341,5.830251,1.757373,0.96526,6.324444,5.984921,6.956953,1.745435,0.878068,sad
2.015487,2.079973,1.987367,1.500104,0.546362,1.231429,1.739312,1.143858,0.861879,0.741168,2.813979,5.169864,2.350682,1.46476,0.815579,0.760678,0.402445,0.493496,0.611458,0.23904,3.644379,2.663745,2.302843,1.456101,0.723329,sad
5.550019,5.082982,1.345032,1.238002,0.833209,3.447144,3.489433,1.688583,1.404289,0.654144,1.433243,0.309194,1.186908,0.574852,0.699504,5.643706,3.125675,4.432236,1.531164,0.688047,5.679645,4.887785,5.342059,1.709664,0.844673,sad
